ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Keyword(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN,Accession number,PMCID
mdl-34082220,Stigmatizing attitudes toward psychiatric disorders: A cross-sectional population-based survey.,"Blum, Gabriela Brendel; Bins, Rafael Bittencourt; Rabelo-da-Ponte, Francisco Diego; Passos, Ives Cavalcante","J Psychiatr Res;139: 179-184, 2021 07. ",J Psychiatr Res,MEDLINE,article,en,2021,Trastornos Mentales; Adolescente; Adulto; Actitud; Brasil; Estudios Transversales; Femenino; Humanos; Masculino; Trastornos Mentales/epidemiología; Estigma Social; Estereotipo; Encuestas y Cuestionarios; Adulto Joven,Cross-sectional study; Mental illness; Psychiatric disease; Stigmatization,GB,https://dx.doi.org/10.1016/j.jpsychires.2021.05.033,"BACKGROUND: Stigmatizing attitudes against individuals diagnosed with mental illness could increase the severity of psychiatric symptoms, lead to delay in getting medical support, and decrease adherence to treatments. Identifying the groups most associated with stigmatization could orientate actions to reduce this prejudice and improve patients' prognosis. OBJECTIVE: To investigate variables associated with stigmatization toward psychiatric disorders in Brazil. METHODS: A Web-based survey was sent out to assess the sociodemographic characteristics of the respondents and their perception of mental illness. Included participants were composed of Brazilians aged 18 years or over, with access to the internet and social networks. The questionnaire was available from June to August 2018 on Facebook. RESULTS: A total of 2414 respondents were included. The majority were female, white, aged between 18 and 29 years, and had more than 10 years of study. The variables associated with stigma were male sex, fewer years of education, lower household income, the presence of a psychiatric disorder in a first-degree relative, and internalized stigma. CONCLUSIONS: The present study identified variables associated with the stigma against psychiatric disorders. Future studies should propose intervention strategies, such as to foster education about mental illness and to promote the importance of seeking help from a mental health professional, to address this problem in Brazil.",20210603,139,,10.1016/j.jpsychires.2021.05.033,1879-1379,,
mdl-31965309,Why do children and adolescents (not) seek and access professional help for their mental health problems? A systematic review of quantitative and qualitative studies.,"Radez, Jerica; Reardon, Tessa; Creswell, Cathy; Lawrence, Peter J; Evdoka-Burton, Georgina; Waite, Polly","Eur Child Adolesc Psychiatry;30(2): 183-211, 2021 Feb. ",Eur Child Adolesc Psychiatry,MEDLINE,article,en,2021,Trastornos Mentales/terapia; Servicios de Salud Mental/normas; Aceptación de la Atención de Salud/psicología; Estigma Social; Adolescente; Niño; Femenino; Humanos; Masculino; Trastornos Mentales/psicología; Investigación Cualitativa,Adolescents; Barriers; Children; Facilitators; Mental health; Professional help,DE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7932953,"Mental health disorders in children and adolescents are highly prevalent yet undertreated. A detailed understanding of the reasons for not seeking or accessing help as perceived by young people is crucial to address this gap. We conducted a systematic review (PROSPERO 42018088591) of quantitative and qualitative studies reporting barriers and facilitators to children and adolescents seeking and accessing professional help for mental health problems. We identified 53 eligible studies; 22 provided quantitative data, 30 provided qualitative data, and one provided both. Four main barrier/facilitator themes were identified. Almost all studies (96%) reported barriers related to young people's individual factors, such as limited mental health knowledge and broader perceptions of help-seeking. The second most commonly (92%) reported theme related to social factors, for example, perceived social stigma and embarrassment. The third theme captured young people's perceptions of the therapeutic relationship with professionals (68%) including perceived confidentiality and the ability to trust an unknown person. The fourth theme related to systemic and structural barriers and facilitators (58%), such as financial costs associated with mental health services, logistical barriers, and the availability of professional help. The findings highlight the complex array of internal and external factors that determine whether young people seek and access help for mental health difficulties. In addition to making effective support more available, targeted evidence-based interventions are required to reduce perceived public stigma and improve young people's knowledge of mental health problems and available support, including what to expect from professionals and services.",20200123,30,2,10.1007/s00787-019-01469-4,1435-165X,,
mdl-32295581,"How do education and experience with mental illness interact with causal beliefs, eligible treatments and stigmatising attitudes towards schizophrenia? A comparison between mental health professionals, psychology students, relatives and patients.","Mannarini, Stefania; Rossi, Alessandro; Munari, Cristina","BMC Psychiatry;20(1): 167, 2020 04 15. ",BMC Psychiatry,MEDLINE,article,en,2020,Trastornos Mentales; Esquizofrenia; Actitud; Humanos; Salud Mental; Esquizofrenia/terapia; Estigma Social; Estudiantes,Latent class analysis; Mental health; Mental illness stigma; Schizophrenia; Stigma,GB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7161111,"BACKGROUND: The main purpose of this study was to investigate the perception of schizophrenia in different categories of persons (directly and/or indirectly) involved with it. Hypotheses were made concerning the definition of a multi-class structure where each class should identify a profile characteristic of each respondent's specific role, (e.g.: mental health professional, relative, patient, and student) and specific indicators of schizophrenia (e.g.: causal beliefs, eligible treatments, social distance, perceived dangerousness and public avoidance). METHODS: This study involved 577 participants all in contact with schizophrenia with different roles. A Latent Class Analysis (LCA) was applied to define a latent structure of schizophrenia aspects. Such structure was expected be affected by the interaction between respondents' roles, as external variable, and schizophrenia indicators as manifest variables. RESULTS: A four-latent-class structure representing the four respondents' roles was evidenced, further each class was characterized by schizophrenia indicators representing a profile for each role. Analogies and differences of views and preferences of the respondents' roles concerning schizophrenia emerged clearly. CONCLUSIONS: The four groups of people involved with schizophrenia with different roles demonstrated to interact significantly with specific indicators of schizophrenia shedding new lights on the understanding of schizophrenia in its complexity.",20200417,20,1,10.1186/s12888-020-02580-6,1471-244X,,
mdl-31456028,Does mental health-related discrimination predict health service use 2 years later? Findings from an Australian national survey.,"Reavley, Nicola J; Morgan, Amy J; Petrie, Dennis; Jorm, Anthony F","Soc Psychiatry Psychiatr Epidemiol;55(2): 197-204, 2020 Feb. ",Soc Psychiatry Psychiatr Epidemiol,MEDLINE,article,en,2020,Utilización de Instalaciones y Servicios/estadística &amp; datos numéricos; Trastornos Mentales/psicología; Servicios de Salud Mental/estadística &amp; datos numéricos; Aceptación de la Atención de Salud/psicología; Discriminación Social/psicología; Adolescente; Adulto; Australia; Revelación; Femenino; Estudios de Seguimiento; Costos de la Atención en Salud; Humanos; Masculino; Persona de Mediana Edad; Estigma Social; Encuestas y Cuestionarios,Discrimination; Health service use; Mental disorders; Stigma,DE,https://dx.doi.org/10.1007/s00127-019-01762-2,"PURPOSE: Stigma and discrimination are central concerns for people with mental health problems. The aim of the study was to carry out a follow-up survey of a national survey of experiences of avoidance, discrimination and positive treatment in people with mental health problems to explore how those experiences relate to health service use. METHODS: In 2017, telephone interviews were carried out with 655 Australians aged 18+, who had participated in a 2014 survey and reported a mental health problem or scored highly on a symptom screening questionnaire. Questions covered mental health, disclosure, health service utilisation, and experiences of avoidance, discrimination and positive treatment in a variety of different settings. Regression analyses were used to assess the extent to which count of settings of experiences of avoidance, discrimination or positive treatment at baseline (2014) or follow-up (2017) predicted health service use at follow-up. RESULTS: An increase in past experiences of discrimination was associated with a greater number of visits to hospital or specialist doctors and an increase in positive treatment was associated with a greater number of visits to a mental health professional. Increases in both positive and negative experiences were associated with greater healthcare costs, but the costs were greatest for discrimination at follow-up (concurrent discrimination), primarily due to the cost of nights in hospital. CONCLUSIONS: While both discrimination and positive treatment are associated with greater healthcare costs, concurrent experiences were shown to be more important correlates of health service use than past experiences. Moreover, those in supportive environments may be more willing to engage in earlier evidence-based treatment for mental health problems.",20190829,55,2,10.1007/s00127-019-01762-2,1433-9285,,
mdl-31087238,The Next Step in Integrated Care: Universal Primary Mental Health Providers.,"Williams, Adrienne A","J Clin Psychol Med Settings;27(1): 115-126, 2020 03. ",J Clin Psychol Med Settings,MEDLINE,article,en,2020,Prestación Integrada de Atención de Salud/métodos; Trastornos Mentales/terapia; Servicios de Salud Mental; Atención Primaria de Salud/métodos; Personal de Salud; Humanos; Trastornos Mentales/prevención &amp; control; Trastornos Mentales/psicología; Derivación y Consulta; Estigma Social,Behavioral health; Integrated care; Mental health; Prevention; Stigma,US,https://dx.doi.org/10.1007/s10880-019-09626-2,"Current models of mental health care often do not address three barriers to mental health: the binary view of mental illness (healthy vs. mentally ill), stigma, and prevention. Care models where some patients are selected for referral or consultation with a mental health professional can reinforce this binary view and the stigma associated with seeing mental health services. By only selecting patients who currently are experiencing mental health problems, current integrated care models do not offer sufficient avenues for prevention. To address these barriers, this article proposes building on current models through the development of primary mental health providers (PMHPs). PMHPs-like primary care providers-would provide regular check-ups, assessments, prevention interventions, first-line treatment, or referral to more specialized professionals. This universal approach will help decrease the binary view of mental health, decrease the stigma of seeing a mental health professional through universal access, and improve prevention efforts.",20190516,27,1,10.1007/s10880-019-09626-2,1573-3572,,
mdl-31094446,Primary care provider utilization and satisfaction with a health system navigation program for adolescents with behavioral health needs.,"Yang, Yan; Dillon, Ellis C; Li, Martina; Li, Jinnan; Erlich, Kimberly J; Heneghan, Amy M; Becker, Daniel F","Transl Behav Med;9(3): 549-559, 2019 05 16. ",Transl Behav Med,MEDLINE,article,en,2019,Actitud del Personal de Salud; Trastornos Mentales/terapia; Aceptación de la Atención de Salud/estadística &amp; datos numéricos; Médicos de Atención Primaria; Derivación y Consulta/estadística &amp; datos numéricos; Adolescente; Adulto; Registros Electrónicos de Salud; Femenino; Accesibilidad a los Servicios de Salud; Humanos; Masculino; Trastornos Mentales/diagnóstico; Encuestas y Cuestionarios,Adolescents; Behavioral health; Navigation; Primary care provider,GB,https://dx.doi.org/10.1093/tbm/ibz049,"Approximately 49.5% of the adolescents report a mental health disorder; only about half of the children and adolescents with mental health disorders seek treatment from a mental health professional. Stigma and poor access to behavioral health providers are leading barriers to care. A large ambulatory health system implemented a BH navigation program to facilitate referrals from primary care physicians (PCPs), including pediatricians and family physicians, to BH providers. We studied PCP adoption of BH navigation services over a 4-year period, from July 2014 to June 2018. We retrieved operational data regarding service utilization, patient information from electronic health records and PCP information from administrative data, and surveyed PCPs for their appraisals of navigation services. Four thousand five hundred and fifty-five referrals were made for 3,912 patients from 290 PCPs (71% of PCPs in the health system). Depression (39%), anxiety (25%), and attention-deficit hyperactivity disorder (7%) were the most frequent reasons for referral. Referrals increased dramatically in the first half of the study period and decreased afterwards. Ninety-one percent of the PCPs agreed or strongly agreed that navigation enhanced their clinical care at 12-month survey. More than 90% of the PCPs rated the referral process, communication with navigation staff, and the overall experience as above average or excellent at 12 months. There was a decrease in these evaluation indicators after 2.5 years. The initial high referral volume reflects a need for BH navigation services. However, challenges remain to maintain positive PCP assessment in the face of such demand.",20190517,9,3,10.1093/tbm/ibz049,1613-9860,,
mdl-30642305,Understanding the public's profile of mental health literacy in China: a nationwide study.,"Huang, Debbie; Yang, Lawrence H; Pescosolido, Bernice A","BMC Psychiatry;19(1): 20, 2019 01 14. ",BMC Psychiatry,MEDLINE,article,en,2019,"Conocimientos, Actitudes y Práctica en Salud; Alfabetización en Salud/tendencias; Trastornos Mentales/epidemiología; Trastornos Mentales/psicología; Salud Mental/tendencias; Adulto; Anciano; China/epidemiología; Femenino; Personal de Salud/psicología; Personal de Salud/tendencias; Humanos; Masculino; Persona de Mediana Edad; Psiquiatría/métodos; Psiquiatría/tendencias; Población Rural/tendencias; Estigma Social",Global mental health; Mental health literacy; Mental health recognition; Mental health service-use; Psychiatric epidemiology,GB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6332702,"BACKGROUND: In the wake of China's massive economic development, attention has only recently turned to the enormous treatment gap that exists for mental health problems. Our study is the first comprehensive, national examination of the levels and correlates of the public's ability to recognize mental illness in the community and suggest sources of help, setting a baseline to assess contemporary Chinese efforts. METHODS: Data were collected in China as part of the Stigma in Global Context - Mental Health Study (SGC-MHS) through face-to-face interviews using vignettes meeting clinical criteria for schizophrenia and major depression. Our analysis targets the Han Chinese participants (n = 1812). Differences in the recognition of mental health problems were assessed using a chi-square test and further stratified by vignette illness type and urban vs. rural residence. Adjusted regression models estimated the effects of each predictor towards the endorsement three types of help-seeking: medical doctor, psychiatrist, and mental health professional. RESULTS: As expected, recognition of mental health problems is low; it is better for depression and most accurate in urban areas. Perceived severity increases endorsement of the need for care and for treatment by all provider types. Recognition of a mental health problem specifically decreases endorsement of medical doctors while increasing recommendations for psychiatrists and mental health professionals. Neurobiological attributions decrease recommendations for mental health professionals as opposed to general or specialty physicians. CONCLUSIONS: Continued efforts are needed in China to promote mental illness recognition within rural areas, and of schizophrenia specifically. Promoting recognition of mental illness, while balancing the special challenges among individuals who understand the neurobiological roots of mental illness, may constitute a key strategy to reduce the sizeable mental health treatment gap in China.",20190116,19,1,10.1186/s12888-018-1980-8,1471-244X,,
mdl-29673271,"Beyond Silence: A Randomized, Parallel-Group Trial Exploring the Impact of Workplace Mental Health Literacy Training with Healthcare Employees.","Moll, Sandra E; Patten, Scott; Stuart, Heather; MacDermid, Joy C; Kirsh, Bonnie","Can J Psychiatry;63(12): 826-833, 2018 12. ",Can J Psychiatry,MEDLINE,article,en,2018,"Personal de Salud; Capacitación en Servicio/métodos; Trastornos Mentales/psicología; Salud Mental/educación; Desarrollo de Personal/métodos; Adulto; Actitud del Personal de Salud; Evaluación Educacional; Femenino; Conocimientos, Actitudes y Práctica en Salud; Personal de Salud/educación; Personal de Salud/psicología; Conducta de Búsqueda de Ayuda; Humanos; Masculino; Persona de Mediana Edad; Estigma Social",clinical trial; early intervention (education); employment; evaluation studies; health personnel; mental health; professional education; stigma; training programs; workplace,US,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6309037,"OBJECTIVE: This study sought to evaluate whether a contact-based workplace education program was more effective than standard mental health literacy training in promoting early intervention and support for healthcare employees with mental health issues. METHOD: A parallel-group, randomised trial was conducted with employees in 2 multi-site Ontario hospitals with the evaluators blinded to the groups. Participants were randomly assigned to 1 of 2 group-based education programs: Beyond Silence (comprising 6 in-person, 2-h sessions plus 5 online sessions co-led by employees who personally experienced mental health issues) or Mental Health First Aid (a standardised 2-day training program led by a trained facilitator). Participants completed baseline, post-group, and 3-mo follow-up surveys to explore perceived changes in mental health knowledge, stigmatized beliefs, and help-seeking/help-outreach behaviours. An intent-to-treat analysis was completed with 192 participants. Differences were assessed using multi-level mixed models accounting for site, group, and repeated measurement. RESULTS: Neither program led to significant increases in help-seeking or help-outreach behaviours. Both programs increased mental health literacy, improved attitudes towards seeking treatment, and decreased stigmatized beliefs, with sustained changes in stigmatized beliefs more prominent in the Beyond Silence group. CONCLUSION: Beyond Silence, a new contact-based education program customised for healthcare workers was not superior to standard mental health literacy training in improving mental health help-seeking or help-outreach behaviours in the workplace. The only difference was a reduction in stigmatized beliefs over time. Additional research is needed to explore the factors that lead to behaviour change.",20180421,63,12,10.1177/0706743718766051,1497-0015,,
mdl-29120209,The role of personality traits and barriers to mental health treatment seeking among college students.,"Jennings, Kristen S; Goguen, Kandice N; Britt, Thomas W; Jeffirs, Stephanie M; Wilkes, Jack R; Brady, Ashley R; Pittman, Rebecca A; DiMuzio, Danielle J","Psychol Serv;14(4): 513-523, 2017 Nov. ",Psychol Serv,MEDLINE,article,en,2017,"Conocimientos, Actitudes y Práctica en Salud; Trastornos Mentales/terapia; Servicios de Salud Mental; Aceptación de la Atención de Salud; Personalidad; Estigma Social; Estudiantes; Adulto; Femenino; Humanos; Masculino; Universidades; Adulto Joven",,US,https://dx.doi.org/10.1037/ser0000157,"Many college students experience a mental health problem yet do not seek treatment from a mental health professional. In the present study, we examined how perceived barriers (stigma perceptions, negative attitudes about treatment, and perceptions of practical barriers), as well as the Big Five personality traits, relate to treatment seeking among college students reporting a current mental health problem. The sample consisted of 261 college students, 115 of which reported experiencing a current problem. Results of a series of logistic regressions revealed that perceived stigma from others (OR = .32), self-stigma (OR = .29), negative attitudes about treatment (OR = .27), and practical barriers (OR = .34) were all associated with a lower likelihood of having sought treatment among students experiencing a problem. Of the five-factor model personality traits, only Neuroticism was associated with a higher likelihood of having sought treatment when experiencing a mental health problem (OR = 2.71). When we considered all significant predictors in a final stepwise conditional model, only self-stigma, practical barriers, and Neuroticism remained significant unique predictors. Implications for addressing barriers to treatment and encouraging treatment seeking among college students are discussed. (PsycINFO Database Record",20171110,14,4,10.1037/ser0000157,1939-148X,,
mdl-27152542,Interprofessional education in mental health: An opportunity to reduce mental illness stigma.,"Maranzan, K Amanda","J Interprof Care;30(3): 370-7, 2016 May. ",J Interprof Care,MEDLINE,article,en,2016,"Personal de Salud/educación; Relaciones Interprofesionales; Salud Mental/educación; Estigma Social; Estudiantes del Área de la Salud/psicología; Actitud del Personal de Salud; Conducta Cooperativa; Femenino; Conocimientos, Actitudes y Práctica en Salud; Humanos; Masculino",Attitude change; interprofessional education; mental health; professional stereotypes; stigma,GB,https://dx.doi.org/10.3109/13561820.2016.1146878,"Mental illness stigma is a common problem in healthcare students and professionals in addition to the general public. Stigma is associated with numerous negative outcomes and hence there is an urgent need to address it. This article explores the potential for interprofessional education (IPE) to emerge as a strategy to reduce mental illness stigma amongst healthcare students and professionals. Most anti-stigma strategies use a combination of knowledge and contact (with a person with lived experience) to change attitudes towards mental illness. Not surprisingly interprofessional educators are well acquainted with theory and learning approaches for attitude change as they are already used in IPE to address learners' attitudes and perceptions of themselves, other professions, and/or teamwork. This article, through an analysis of IPE pedagogy and learning methods, identifies opportunities to address mental illness stigma with application of the conditions that facilitate stigma reduction. The goal of this article is to raise awareness of the issue of mental illness stigma amongst healthcare students and professionals and to highlight interprofessional education as an untapped opportunity for change.",20160507,30,3,10.3109/13561820.2016.1146878,1469-9567,,
