Reference Type,"Authors, Primary",Title Primary,Periodical Full,Periodical Abbrev,Pub Year,Volume,Issue,Start Page,Other Pages,Keywords,Abstract,Notes,Personal Notes,"Authors, Secondary",Title Secondary,Edition,Publisher,Place Of Publication,"Authors, Tertiary","Authors, Quaternary","Authors, Quinary","Title, Tertiary",ISSN/ISBN,Availability,Author/Address,Accession Number,Language,Classification,Sub file/Database,Original Foreign Title,Links,URL,DOI,PMID,PMCID,Call Number,Database,Data Source,Identifying Phrase,Retrieved Date,Shortened Title,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15
Journal Article,"Alby,Francesca;Zucchermaglio,Cristina;Fatigante,Marilena",Beyond the written words of informed consent: What participants would like to know about research,NORDIC PSYCHOLOGY}, ,2014,66,2,71,93, ,"Informing the participants about the research is an essential part of the activities planned and accomplished in research projects in any field, including psychological sciences. Research teams, scientific associations, and universities have increasingly equipped themselves with tools (the informed consent) that help accomplish this activity. Drawing on three different qualitative studies, we focus our analysis on both the information found in the consent sheets concerning the study aims and procedures and the questions raised by participants on the same topics while talking with the researcher. Considering informed consents as cultural artifacts, we discuss the importance of designing them in such a way that would make them more sensitive to the participants' information demands, and not only to the researchers' community needs.}", , ,, , , , ,,,, ,1901-2276}, ,"Alby, F (Reprint Author), Univ Roma La Sapienza, Dept Social \& Dev Psychol, Via Marsi 78, I-00185 Rome, Italy. Alby, Francesca; Zucchermaglio, Cristina; Fatigante, Marilena, Univ Roma La Sapienza, Dept Social \& Dev Psychol, I-00185 Rome, Italy.}", , , , , , , ,10.1080/19012276.2014.926228, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"AlcalÃ¡,D. H.;Calvo,G. G.;Garijo,A. H.",Researchers' assessment of ethical codes in the scientific realm,Perfiles Educativos, ,2017,39,155,38,50,Critical perception;Education sciences;Ethics in science;Qualitative techniques;Social research,"The purpose of this study is to inquire into the ethical principles that should be applied to the scientific code for research. To this end a qualitative analysis was conducted, through an interpretive action model, of the perception of six Spanish university professors from varying specializations within the social sciences field. A discussion group was conducted as an instrument for further investigation into this focus of study. Results indicate how professors with less experience and lower academic rank perceive more difficulties when adapting to the demands of evaluating agencies. Professors with higher academic rank recognize the impossibility of publishing varied, high-quality scientific material in the short term. The articles ends by proposing the need to review professor accreditation models, considering both contributions made by researchers and their multidisciplinary projection. Â© 2017, Instituto de Investigaciones sobre la Universidad y la EducaciÃ³n (IISUE).", , ,, , , , ,,,, , , ,"Affiliation: Facultad de EducaciÃ³n de la Universidad de Burgos, Spain; Affiliation: Facultad de EducaciÃ³n de Palencia, Universidad de Valladolid, Spain", ,Spanish, , ,ValoraciÃ³n del investigador sobre los cÃ³digos Ã©ticos en el Ã¡mbito cientÃ­fico, ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019839620&partnerID=40&md5=7b200f313256ae4d7ca27a73b49fe32c, , , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
Journal Article,"Allen,Quaylan","Race, culture and agency: Examining the ideologies and practices of U.S. teachers of Black male students",Teaching and Teacher Education, ,2015,47, ,71,81,Black males;Teacher ideology;Teacher agency;Resistance;Secondary education;Teacher education,"Abstract This study examines teachers of Black male students in a United States secondary school setting. Qualitative methods were used to document teachers' ideologies of and practices with their Black male students. In general, teachers drew upon competing structural and cultural explanations of Black male social and academic outcomes, while also engaging in practices that contested school barriers for Black males. Teacher beliefs about and practices with their Black male students were inconsistent in many ways, yet their agency on behalf of Black males might be understood as essential to Black male educational progress.", , ,, , , , ,,,, ,0742-051X, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0742051X1400167X,https://doi.org/10.1016/j.tate.2014.12.010, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Allen,Ruth E. S.;Wiles,Janine L.",A rose by any other name: participants choosing research pseudonyms,QUALITATIVE RESEARCH IN PSYCHOLOGY}, ,2016,13,2,149,165, ,"How do researchers name people respectfully in research projects? In an interview study on aspects of aging, 38 participants were invited to choose their own pseudonyms for the research. The resulting discussions show that the common practice of allocating pseudonyms to confer anonymity is not merely a technical procedure, but renaming has psychological meaning to both the participants and the content and process of the research. The care and thought with which many participants chose their names, and the meanings or links associated with those names, illuminated the importance of the process of naming. There was evidence of rules and customs around naming that further confirmed its importance both within their sociocultural worlds, and as an act of research, affected by issues of power and voice, methodology, and research outputs. We invite researchers to consider a more nuanced engagement with participants regarding choosing pseudonyms in research.}", , ,, , , , ,,,, ,1478-0887}, ,"Wiles, JL (Reprint Author), Univ Auckland, Social \& Community Hlth, Private Bag 92019, Auckland 1142, New Zealand. Allen, Ruth E. S.; Wiles, Janine L., Univ Auckland, Social \& Community Hlth, Private Bag 92019, Auckland 1142, New Zealand.}", , , , , , , ,10.1080/14780887.2015.1133746, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Bates,Littisha A.;Glick,Jennifer E.",Does it matter if teachers and schools match the student? Racial and ethnic disparities in problem behaviors,Social science research,Soc.Sci.Res.,2013,42,5,1180,1190,Race matching;Teacher perceptions;ECLSâ€“K;Externalizing behavior,"Abstract Black youth often lag behind their non-Hispanic white peers in educational outcomes, including teacher-evaluated school performance. Using data from four waves of the Early Childhood Longitudinal Studyâ€“Kindergarten Cohort, the analyses presented here identify the extent to which children receive different evaluations from their teachers depending on the racial/ethnic match of teachers and students. This study is distinct from previous work because we examine the assessment of an individual child by multiple teachers. The results indicate that Black children receive worse assessments of their externalizing behaviors (e.g. arguing in class and disrupting instruction) when they have a non-Hispanic white teacher than when they have a Black teacher. Further, these results exist net of school context and the teacherâ€™s own ratings of the behavior of the class overall.", , ,, , , , ,,,, ,0049-089X, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0049089X13000653,https://doi.org/10.1016/j.ssresearch.2013.04.005, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Bilson,Andy;Larkins,Cath",Providing alternatives to infant institutionalisation in Bulgaria: How gatekeeping can benefit from a social development orientation,Children and Youth Services Review, ,2013,35,9,1566,1575,Child protection;Gatekeeping;Institutional care;Bulgaria;Social development;Deinstitutionalisation,Abstract There is extensive research demonstrating the negative effects of institutionalisation on infants. Gatekeeping has been widely promoted as a key strategy to combat unnecessary institutionalisation. Its aim is to provide a range of services and a system of decision making based on assessments of children and families to ensure effective targeting of services. This paper provides details of research into the gatekeeping system in Bulgaria for children under three and examples from recent Bulgarian and international practice. It suggests that gatekeeping could benefit from a social development orientation including activities to combat poverty and promote social inclusion through supporting community and family strengths. The paper proposes changes to the orientation of gatekeeping for effective national strategies to combat institutionalisation., , ,, , , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0190740913002247,https://doi.org/10.1016/j.childyouth.2013.06.008, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Borders,A.;Liang,C. T. H.","Rumination Partially Mediates the Associations Between Perceived Ethnic Discrimination, Emotional Distress, and Aggression",Cultural Diversity and Ethnic Minority Psychology, ,2011,17,2,125,133, ,"Research suggests that perceived ethnic discrimination is associated with poor psychological and physiological health. Rumination, or perseverative thoughts about negative experiences, may constitute a maladaptive coping strategy that mediates the associations between perceived discrimination, emotional distress, and aggression. Our sample consisted of 170 ethnic minority and 134 White American participants. For ethnic minority participants, we found a pattern of correlations consistent with rumination partially mediating a causal link between perceived discrimination and depressive symptoms, hostility, anger, and aggression. In White participants, by contrast, the significant associations between perceived discrimination and these indices of emotional and behavioral distress were not statistically mediated by rumination. We discuss possible theoretical and clinical implications of these results. Ã‚Â© 2011 American Psychological Association.",cited By 27; Scopus, ,, , , , ,,,, , , ,"Department of Psychology, The College of New Jersey, United States; Department of Psychology, University of La Verne, United States", , , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957632284&doi=10.1037%2fa0023357&partnerID=40&md5=27f9bd082080dc1669ecc6df1c839e24, ,10.1037/a0023357, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Bowie,Christine;McLeod,Julia;McLeod,John",``It was almost like the opposite of what I needed': A qualitative exploration of client experiences of unhelpful therapy,COUNSELLING \& PSYCHOTHERAPY RESEARCH}, ,2016,16,2,79,87, ,"BackgroundThe issue of unhelpful and harmful therapy outcome has received an increasing amount of attention within the research literature in recent years. However, little research exists on the client's perspective of what constitutes unhelpful therapy. AimThe aim of this study was to explore clients' experiences of unhelpful therapy. MethodSemi-structured interviews were carried out with ten therapists who, as clients, experienced unhelpful therapy. Interview transcripts were analysed usinginterpretative phenomenological analysis. FindingsParticipants recounted therapy episodes characterised by an absence of negotiation, collaboration and care; pivotal moments when they knew that they would not return; and ongoing negative effects. ConclusionsThe findings of this study have implications for training and strategies for supporting clients who have been harmed by therapy.}", , ,, , , , ,,,, ,1473-3145}, ,"Bowie, C (Reprint Author), Univ Abertay, Div Mental Hlth Nursing \& Counselling, Dundee, Scotland. Bowie, Christine; McLeod, Julia, Univ Abertay, Div Mental Hlth Nursing \& Counselling, Dundee, Scotland. McLeod, John, Univ Oslo, Dept Psychol, Oslo, Norway.}", , , , , , , ,10.1002/capr.12066, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Boyd,Reiko",African American disproportionality and disparity in child welfare: Toward a comprehensive conceptual framework,Children and Youth Services Review, ,2014,37, ,15,27,Disproportionality;Disparity;Child welfare;African American;Conceptual framework;Theory,"Abstract The disproportional representation and disparity experienced by African American children and families in the child welfare system have received increasing attention over the past three decades. A review of the literature for explanatory factors and conceptual frameworks reveals that, as with the general definitions of disproportionality and disparity, there is a need for increased precision and refinement of the current frameworks used to explain the occurrence of these phenomena in the child welfare system. In order to address these issues, an alternate conceptual framework is proposed, with explanatory factors organized into five major paths: 1) Disproportionate Need; 2) Human Decision-Making; 3) Agency-System Factors; 4) Placement Dynamics; and 5) Policy Impact. This comprehensive framework aims to enhance the theoretical basis relevant to future research, critical thinking, and analyzing responses to the issues of disproportionality and disparity in child welfare.", , ,, , , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S019074091300354X,https://doi.org/10.1016/j.childyouth.2013.11.013, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Bradfield,Bruce",Intersubjectivity and the Knowing of Inner Experience: Finding Space for a Psychoanalytic Phenomenology in Research,JOURNAL OF HUMANISTIC PSYCHOLOGY}, ,2013,53,3,263,282, ,"This article demonstrates the synthesis of phenomenological hermeneutics and psychoanalytic case study research and proposes such a methodology as well suited for a study exploring unconscious/representational processes and internal representations of self and other. This is considered in relation to the dialectic of the dual position of psychoanalytic psychotherapist and qualitative researcher. The article emphasizes what I suggest are evident and helpful parallels between the investigative/research process and the psychoanalytic disposition, in terms of the relationship between these two. The role of the body as intersubjectively present is considered, attending to the embodied qualities of the investigative process. Crucial ethical concerns are raised through the consideration of this dialectic, which are discussed in the final part of the article. The ethical issues raised relate specifically to research into experiences of suffering, bearing in mind the condition of psychological safety which the researcher needs to cultivate.}", , ,, , , , ,,,, ,0022-1678}, ,"Bradfield, B (Reprint Author), 247 Main Rd, ZA-7708 Cape Town, South Africa. Bradfield, Bruce, Rhodes Univ, Cape Town, South Africa.}", , , , , , , ,10.1177/0022167812469726, , , , , , , , , , , , , , , , , , , , , , , 
